antecedent,consequent,support,confidence
{4 14 18 30},{34},0.1,1.0
{14 18 30 34},{4},0.216,0.464
{4 18 30 34},{14},0.1,1.0
{4 14 30 34},{18},0.1,1.0
{4 14 18 34},{30},0.158,0.633
{14 18 30},{4 34},0.31,0.323
{4 18 30},{14 34},0.1,1.0
{4 14 30},{18 34},0.1,1.0
{4 14 18},{30 34},0.1,1.0
{18 30 34},{4 14},0.27,0.371
{14 30 34},{4 18},0.216,0.464
{14 18 34},{4 30},0.36,0.278
{4 30 34},{14 18},0.1,1.0
{4 18 34},{14 30},0.205,0.489
{4 14 34},{18 30},0.1,1.0
{18 30},{4 14 34},0.397,0.252
{14 30},{4 18 34},0.421,0.238
{14 18},{4 30 34},0.527,0.19
{4 30},{14 18 34},0.242,0.414
{4 18},{14 30 34},0.1,1.0
{4 14},{18 30 34},0.289,0.346
{30 34},{4 14 18},0.368,0.272
{18 34},{4 14 30},0.466,0.215
{14 34},{4 18 30},0.475,0.211
{4 34},{14 18 30},0.269,0.372
{30},{4 14 18 34},0.563,0.178
{18},{4 14 30 34},0.705,0.142
{14},{4 18 30 34},0.717,0.14
{4},{14 18 30 34},0.397,0.252
{34},{4 14 18 30},0.641,0.156
{14 18 26 30},{34},0.105,1.0
{18 26 30 34},{14},0.105,1.0
{14 26 30 34},{18},0.105,1.0
{14 18 30 34},{26},0.216,0.485
{14 18 26 34},{30},0.163,0.641
{18 26 30},{14 34},0.105,1.0
{14 26 30},{18 34},0.105,1.0
{14 18 30},{26 34},0.31,0.338
{14 18 26},{30 34},0.232,0.451
{26 30 34},{14 18},0.105,1.0
{18 30 34},{14 26},0.27,0.389
{18 26 34},{14 30},0.203,0.517
{14 30 34},{18 26},0.216,0.485
{14 26 34},{18 30},0.105,1.0
{14 18 34},{26 30},0.36,0.291
{26 30},{14 18 34},0.105,1.0
{18 30},{14 26 34},0.397,0.264
{18 26},{14 30 34},0.299,0.35
{14 30},{18 26 34},0.421,0.249
{14 26},{18 30 34},0.305,0.343
{14 18},{26 30 34},0.527,0.199
{30 34},{14 18 26},0.368,0.285
{26 34},{14 18 30},0.105,1.0
{18 34},{14 26 30},0.466,0.225
{14 34},{18 26 30},0.475,0.221
{30},{14 18 26 34},0.563,0.186
{26},{14 18 30 34},0.412,0.254
{18},{14 26 30 34},0.705,0.149
{14},{18 26 30 34},0.717,0.146
{34},{14 18 26 30},0.641,0.164
{14 18 30 34},{32},0.216,0.476
{14 18 30 32},{34},0.103,1.0
{18 30 32 34},{14},0.103,1.0
{14 30 32 34},{18},0.103,1.0
{14 18 32 34},{30},0.164,0.625
{14 18 30},{32 34},0.31,0.332
{18 30 34},{14 32},0.27,0.381
{14 30 34},{18 32},0.216,0.476
{14 18 34},{30 32},0.36,0.285
{18 30 32},{14 34},0.103,1.0
{14 30 32},{18 34},0.103,1.0
{14 18 32},{30 34},0.231,0.446
{30 32 34},{14 18},0.103,1.0
{18 32 34},{14 30},0.209,0.491
{14 32 34},{18 30},0.103,1.0
{18 30},{14 32 34},0.397,0.259
{14 30},{18 32 34},0.421,0.244
{14 18},{30 32 34},0.527,0.195
{30 34},{14 18 32},0.368,0.279
{18 34},{14 30 32},0.466,0.22
{14 34},{18 30 32},0.475,0.216
{30 32},{14 18 34},0.245,0.42
{18 32},{14 30 34},0.304,0.338
{14 32},{18 30 34},0.299,0.343
{32 34},{14 18 30},0.277,0.371
{30},{14 18 32 34},0.563,0.182
{18},{14 30 32 34},0.705,0.146
{14},{18 30 32 34},0.717,0.143
{34},{14 18 30 32},0.641,0.16
{32},{14 18 30 34},0.413,0.249
{14 18 30 48},{34},0.119,1.0
{18 30 34 48},{14},0.106,1.129
{14 18 30 34},{48},0.216,0.553
{14 30 34 48},{18},0.119,1.0
{14 18 34 48},{30},0.187,0.638
{18 30 48},{14 34},0.106,1.129
{14 18 30},{34 48},0.31,0.386
{14 30 48},{18 34},0.119,1.0
{14 18 48},{30 34},0.27,0.442
{18 30 34},{14 48},0.27,0.443
{30 34 48},{14 18},0.106,1.129
{18 34 48},{14 30},0.235,0.508
{14 30 34},{18 48},0.216,0.553
{14 18 34},{30 48},0.36,0.331
{14 34 48},{18 30},0.187,0.638
{18 30},{14 34 48},0.397,0.301
{30 48},{14 18 34},0.282,0.423
{18 48},{14 30 34},0.348,0.344
{14 30},{18 34 48},0.421,0.284
{14 18},{30 34 48},0.527,0.227
{14 48},{18 30 34},0.356,0.336
{30 34},{14 18 48},0.368,0.325
{18 34},{14 30 48},0.466,0.256
{34 48},{14 18 30},0.316,0.378
{14 34},{18 30 48},0.475,0.252
{30},{14 18 34 48},0.563,0.212
{18},{14 30 34 48},0.705,0.169
{48},{14 18 30 34},0.479,0.249
{14},{18 30 34 48},0.717,0.167
{34},{14 18 30 48},0.641,0.186
{18 30 34 48},{1},0.106,1.0
{1 18 30 48},{34},0.106,1.0
{1 18 30 34},{48},0.131,0.805
{1 30 34 48},{18},0.106,1.0
{1 18 34 48},{30},0.106,1.0
{18 30 48},{1 34},0.106,1.0
{18 30 34},{1 48},0.27,0.392
{30 34 48},{1 18},0.106,1.0
{18 34 48},{1 30},0.235,0.45
{1 18 30},{34 48},0.131,0.805
{1 30 48},{18 34},0.106,1.0
{1 18 48},{30 34},0.106,1.0
{1 30 34},{18 48},0.214,0.495
{1 18 34},{30 48},0.271,0.391
{1 34 48},{18 30},0.106,1.0
{18 30},{1 34 48},0.397,0.267
{30 48},{1 18 34},0.282,0.375
{18 48},{1 30 34},0.348,0.304
{30 34},{1 18 48},0.368,0.287
{18 34},{1 30 48},0.466,0.227
{34 48},{1 18 30},0.316,0.334
{1 30},{18 34 48},0.31,0.341
{1 18},{30 34 48},0.387,0.273
{1 48},{18 30 34},0.466,0.227
{1 34},{18 30 48},0.352,0.3
{30},{1 18 34 48},0.563,0.188
{18},{1 30 34 48},0.705,0.15
{48},{1 18 30 34},0.479,0.221
{34},{1 18 30 48},0.641,0.165
{1},{18 30 34 48},0.52,0.203
{14 16 18 30},{34},0.113,1.0
{16 18 30 34},{14},0.113,1.0
{14 18 30 34},{16},0.216,0.524
{14 16 30 34},{18},0.113,1.0
{14 16 18 34},{30},0.195,0.581
{16 18 30},{14 34},0.113,1.0
{14 18 30},{16 34},0.31,0.365
{14 16 30},{18 34},0.113,1.0
{14 16 18},{30 34},0.28,0.404
{18 30 34},{14 16},0.27,0.42
{16 30 34},{14 18},0.192,0.59
{16 18 34},{14 30},0.246,0.461
{14 30 34},{16 18},0.216,0.524
{14 18 34},{16 30},0.36,0.314
{14 16 34},{18 30},0.195,0.581
{18 30},{14 16 34},0.397,0.285
{16 30},{14 18 34},0.29,0.39
{16 18},{14 30 34},0.369,0.307
{14 30},{16 18 34},0.421,0.269
{14 18},{16 30 34},0.527,0.215
{14 16},{18 30 34},0.38,0.298
{30 34},{14 16 18},0.368,0.307
{18 34},{14 16 30},0.466,0.242
{16 34},{14 18 30},0.332,0.34
{14 34},{16 18 30},0.475,0.238
{30},{14 16 18 34},0.563,0.201
{18},{14 16 30 34},0.705,0.16
{16},{14 18 30 34},0.513,0.22
{14},{16 18 30 34},0.717,0.158
{34},{14 16 18 30},0.641,0.177
{14 18 30 34},{1},0.216,0.609
{1 14 18 30},{34},0.131,1.0
{1 18 30 34},{14},0.131,1.0
{1 14 30 34},{18},0.131,1.0
{1 14 18 34},{30},0.211,0.624
{14 18 30},{1 34},0.31,0.425
{18 30 34},{1 14},0.27,0.488
{14 30 34},{1 18},0.216,0.609
{14 18 34},{1 30},0.36,0.365
{1 18 30},{14 34},0.131,1.0
{1 14 30},{18 34},0.131,1.0
{1 14 18},{30 34},0.293,0.449
{1 30 34},{14 18},0.214,0.616
{1 18 34},{14 30},0.271,0.486
{1 14 34},{18 30},0.211,0.624
{18 30},{1 14 34},0.397,0.331
{14 30},{1 18 34},0.421,0.312
{14 18},{1 30 34},0.527,0.249
{30 34},{1 14 18},0.368,0.357
{18 34},{1 14 30},0.466,0.282
{14 34},{1 18 30},0.475,0.277
{1 30},{14 18 34},0.31,0.424
{1 18},{14 30 34},0.387,0.34
{1 14},{18 30 34},0.382,0.344
{1 34},{14 18 30},0.352,0.373
{30},{1 14 18 34},0.563,0.233
{18},{1 14 30 34},0.705,0.186
{14},{1 18 30 34},0.717,0.183
{34},{1 14 18 30},0.641,0.205
{1},{14 18 30 34},0.52,0.253
{6 14 18 30},{34},0.122,1.0
{14 18 30 34},{6},0.216,0.567
{6 18 30 34},{14},0.122,1.0
{6 14 30 34},{18},0.122,1.0
{6 14 18 34},{30},0.202,0.606
{14 18 30},{6 34},0.31,0.395
{6 18 30},{14 34},0.122,1.0
{6 14 30},{18 34},0.122,1.0
{6 14 18},{30 34},0.29,0.423
{18 30 34},{6 14},0.27,0.454
{14 30 34},{6 18},0.216,0.567
{14 18 34},{6 30},0.36,0.34
{6 30 34},{14 18},0.208,0.589
{6 18 34},{14 30},0.262,0.468
{6 14 34},{18 30},0.202,0.606
{18 30},{6 14 34},0.397,0.309
{14 30},{6 18 34},0.421,0.291
{14 18},{6 30 34},0.527,0.232
{6 30},{14 18 34},0.307,0.399
{6 18},{14 30 34},0.382,0.321
{6 14},{18 30 34},0.388,0.316
{30 34},{6 14 18},0.368,0.333
{18 34},{6 14 30},0.466,0.263
{14 34},{6 18 30},0.475,0.258
{6 34},{14 18 30},0.352,0.348
{30},{6 14 18 34},0.563,0.217
{18},{6 14 30 34},0.705,0.174
{14},{6 18 30 34},0.717,0.171
{6},{14 18 30 34},0.528,0.232
{34},{6 14 18 30},0.641,0.191
{14 18 19 30},{34},0.133,1.0
{18 19 30 34},{14},0.166,0.805
{14 19 30 34},{18},0.133,1.0
{14 18 30 34},{19},0.216,0.618
{14 18 19 34},{30},0.215,0.62
{18 19 30},{14 34},0.166,0.805
{14 19 30},{18 34},0.133,1.0
{14 18 30},{19 34},0.31,0.431
{14 18 19},{30 34},0.306,0.437
{19 30 34},{14 18},0.215,0.622
{18 30 34},{14 19},0.27,0.495
{18 19 34},{14 30},0.274,0.487
{14 30 34},{18 19},0.216,0.618
{14 19 34},{18 30},0.215,0.62
{14 18 34},{19 30},0.36,0.37
{19 30},{14 18 34},0.316,0.422
{18 30},{14 19 34},0.397,0.336
{18 19},{14 30 34},0.4,0.334
{14 30},{18 19 34},0.421,0.317
{14 19},{18 30 34},0.399,0.334
{14 18},{19 30 34},0.527,0.253
{30 34},{14 18 19},0.368,0.363
{19 34},{14 18 30},0.36,0.371
{18 34},{14 19 30},0.466,0.286
{14 34},{18 19 30},0.475,0.281
{30},{14 18 19 34},0.563,0.237
{19},{14 18 30 34},0.54,0.247
{18},{14 19 30 34},0.705,0.189
{14},{18 19 30 34},0.717,0.186
{34},{14 18 19 30},0.641,0.208
{14 34 44},{18},0.151,1.0
{14 18 44},{34},0.212,0.714
{18 34 44},{14},0.188,0.805
{14 18 34},{44},0.36,0.42
{14 44},{18 34},0.219,0.692
{34 44},{14 18},0.109,1.393
{14 34},{18 44},0.475,0.319
{18 44},{14 34},0.109,1.393
{14 18},{34 44},0.527,0.287
{18 34},{14 44},0.466,0.325
{44},{14 18 34},0.373,0.406
{14},{18 34 44},0.717,0.211
{34},{14 18 44},0.641,0.236
{18},{14 34 44},0.705,0.215
{30 34 44},{1},0.109,0.942
{1 30 44},{34},0.102,1.0
{1 30 34},{44},0.214,0.48
{1 34 44},{30},0.102,1.0
{30 44},{1 34},0.109,0.942
{30 34},{1 44},0.368,0.278
{34 44},{1 30},0.109,0.942
{1 30},{34 44},0.31,0.33
{1 44},{30 34},0.102,1.0
{1 34},{30 44},0.352,0.291
{30},{1 34 44},0.563,0.182
{44},{1 30 34},0.373,0.275
{34},{1 30 44},0.641,0.16
{1},{30 34 44},0.52,0.197
{30 34 44},{18},0.109,1.0
{18 30 44},{34},0.109,1.0
{18 34 44},{30},0.188,0.578
{18 30 34},{44},0.27,0.403
{30 44},{18 34},0.109,1.0
{34 44},{18 30},0.109,1.0
{30 34},{18 44},0.368,0.296
{18 44},{30 34},0.109,1.0
{18 30},{34 44},0.397,0.274
{18 34},{30 44},0.466,0.233
{44},{18 30 34},0.373,0.292
{30},{18 34 44},0.563,0.193
{34},{18 30 44},0.641,0.17
{18},{30 34 44},0.705,0.154
{14 18 34},{49},0.36,0.416
{14 34 49},{18},0.15,1.0
{14 18 49},{34},0.219,0.683
{18 34 49},{14},0.188,0.798
{14 34},{18 49},0.475,0.316
{14 18},{34 49},0.527,0.284
{18 34},{14 49},0.466,0.321
{14 49},{18 34},0.289,0.518
{34 49},{14 18},0.188,0.798
{18 49},{14 34},0.188,0.798
{14},{18 34 49},0.717,0.209
{34},{14 18 49},0.641,0.234
{18},{14 34 49},0.705,0.212
{49},{14 18 34},0.389,0.385
{4 14 34},{18},0.1,1.58
{14 18 34},{4},0.36,0.439
{4 14 18},{34},0.1,1.58
{4 18 34},{14},0.205,0.773
{14 34},{4 18},0.475,0.333
{4 14},{18 34},0.289,0.547
{4 34},{14 18},0.269,0.587
{14 18},{4 34},0.527,0.3
{18 34},{4 14},0.466,0.339
{4 18},{14 34},0.1,1.58
{14},{4 18 34},0.717,0.221
{34},{4 14 18},0.641,0.247
{4},{14 18 34},0.397,0.399
{18},{4 14 34},0.705,0.224
{4 30 34},{18},0.1,1.0
{18 30 34},{4},0.27,0.371
{4 18 30},{34},0.1,1.0
{4 18 34},{30},0.205,0.489
{30 34},{4 18},0.368,0.272
{4 30},{18 34},0.242,0.414
{4 34},{18 30},0.269,0.372
{18 30},{4 34},0.397,0.252
{18 34},{4 30},0.466,0.215
{4 18},{30 34},0.1,1.0
{30},{4 18 34},0.563,0.178
{34},{4 18 30},0.641,0.156
{4},{18 30 34},0.397,0.252
{18},{4 30 34},0.705,0.142
{4 14 30},{34},0.1,1.0
{14 30 34},{4},0.216,0.464
{4 30 34},{14},0.1,1.0
{4 14 34},{30},0.1,1.0
{14 30},{4 34},0.421,0.238
{4 30},{14 34},0.242,0.414
{4 14},{30 34},0.289,0.346
{30 34},{4 14},0.368,0.272
{14 34},{4 30},0.475,0.211
{4 34},{14 30},0.269,0.372
{30},{4 14 34},0.563,0.178
{14},{4 30 34},0.717,0.14
{4},{14 30 34},0.397,0.252
{34},{4 14 30},0.641,0.156
{4 14 30},{18},0.1,1.0
{14 18 30},{4},0.31,0.323
{4 18 30},{14},0.1,1.0
{4 14 18},{30},0.1,1.0
{14 30},{4 18},0.421,0.238
{4 30},{14 18},0.242,0.414
{4 14},{18 30},0.289,0.346
{18 30},{4 14},0.397,0.252
{14 18},{4 30},0.527,0.19
{4 18},{14 30},0.1,1.0
{30},{4 14 18},0.563,0.178
{14},{4 18 30},0.717,0.14
{4},{14 18 30},0.397,0.252
{18},{4 14 30},0.705,0.142
{14 26 34},{18},0.105,1.561
{14 18 34},{26},0.36,0.454
{14 18 26},{34},0.232,0.704
{18 26 34},{14},0.203,0.807
{14 34},{18 26},0.475,0.344
{14 26},{18 34},0.305,0.536
{26 34},{14 18},0.105,1.561
{14 18},{26 34},0.527,0.31
{18 34},{14 26},0.466,0.351
{18 26},{14 34},0.299,0.546
{14},{18 26 34},0.717,0.228
{34},{14 18 26},0.641,0.255
{26},{14 18 34},0.412,0.396
{18},{14 26 34},0.705,0.232
{26 30 34},{1},0.105,1.146
{1 30 34},{26},0.214,0.562
{1 26 30},{34},0.179,0.67
{1 26 34},{30},0.12,1.0
{30 34},{1 26},0.368,0.326
{26 30},{1 34},0.105,1.146
{26 34},{1 30},0.105,1.146
{1 30},{26 34},0.31,0.388
{1 34},{26 30},0.352,0.341
{1 26},{30 34},0.179,0.67
{30},{1 26 34},0.563,0.213
{34},{1 26 30},0.641,0.188
{26},{1 30 34},0.412,0.291
{1},{26 30 34},0.52,0.231
{26 30 34},{18},0.105,1.0
{18 30 34},{26},0.27,0.389
{18 26 30},{34},0.105,1.0
{18 26 34},{30},0.203,0.517
{30 34},{18 26},0.368,0.285
{26 30},{18 34},0.105,1.0
{26 34},{18 30},0.105,1.0
{18 30},{26 34},0.397,0.264
{18 34},{26 30},0.466,0.225
{18 26},{30 34},0.299,0.35
{30},{18 26 34},0.563,0.186
{34},{18 26 30},0.641,0.164
{26},{18 30 34},0.412,0.254
{18},{26 30 34},0.705,0.149
{14 30 34},{26},0.216,0.485
{14 26 30},{34},0.105,1.0
{26 30 34},{14},0.105,1.0
{14 26 34},{30},0.105,1.0
{14 30},{26 34},0.421,0.249
{30 34},{14 26},0.368,0.285
{14 34},{26 30},0.475,0.221
{26 30},{14 34},0.105,1.0
{14 26},{30 34},0.305,0.343
{26 34},{14 30},0.105,1.0
{30},{14 26 34},0.563,0.186
{14},{26 30 34},0.717,0.146
{34},{14 26 30},0.641,0.164
{26},{14 30 34},0.412,0.254
{14 26 30},{18},0.105,1.0
{14 18 30},{26},0.31,0.338
{18 26 30},{14},0.105,1.0
{14 18 26},{30},0.232,0.451
{14 30},{18 26},0.421,0.249
{26 30},{14 18},0.105,1.0
{14 26},{18 30},0.305,0.343
{18 30},{14 26},0.397,0.264
{14 18},{26 30},0.527,0.199
{18 26},{14 30},0.299,0.35
{30},{14 18 26},0.563,0.186
{14},{18 26 30},0.717,0.146
{26},{14 18 30},0.412,0.254
{18},{14 26 30},0.705,0.149
{14 18 34},{32},0.36,0.456
{14 32 34},{18},0.103,1.601
{14 18 32},{34},0.231,0.713
{18 32 34},{14},0.209,0.786
{14 34},{18 32},0.475,0.346
{14 18},{32 34},0.527,0.312
{18 34},{14 32},0.466,0.353
{14 32},{18 34},0.299,0.55
{32 34},{14 18},0.277,0.593
{18 32},{14 34},0.304,0.542
{14},{18 32 34},0.717,0.23
{34},{14 18 32},0.641,0.257
{18},{14 32 34},0.705,0.233
{32},{14 18 34},0.413,0.399
{1 30 34},{32},0.214,0.572
{30 32 34},{1},0.103,1.188
{1 30 32},{34},0.173,0.705
{1 32 34},{30},0.122,1.0
{30 34},{1 32},0.368,0.332
{1 30},{32 34},0.31,0.394
{1 34},{30 32},0.352,0.347
{30 32},{1 34},0.245,0.499
{32 34},{1 30},0.277,0.44
{1 32},{30 34},0.406,0.301
{30},{1 32 34},0.563,0.217
{34},{1 30 32},0.641,0.191
{1},{30 32 34},0.52,0.235
{32},{1 30 34},0.413,0.296
{18 30 34},{32},0.27,0.381
{30 32 34},{18},0.103,1.0
{18 30 32},{34},0.103,1.0
{18 32 34},{30},0.209,0.491
{30 34},{18 32},0.368,0.279
{18 30},{32 34},0.397,0.259
{18 34},{30 32},0.466,0.22
{30 32},{18 34},0.245,0.42
{32 34},{18 30},0.277,0.371
{18 32},{30 34},0.304,0.338
{30},{18 32 34},0.563,0.182
{34},{18 30 32},0.641,0.16
{18},{30 32 34},0.705,0.146
{32},{18 30 34},0.413,0.249
{14 30 34},{32},0.216,0.476
{14 30 32},{34},0.103,1.0
{30 32 34},{14},0.103,1.0
{14 32 34},{30},0.103,1.0
{14 30},{32 34},0.421,0.244
{30 34},{14 32},0.368,0.279
{14 34},{30 32},0.475,0.216
{30 32},{14 34},0.245,0.42
{14 32},{30 34},0.299,0.343
{32 34},{14 30},0.277,0.371
{30},{14 32 34},0.563,0.182
{14},{30 32 34},0.717,0.143
{34},{14 30 32},0.641,0.16
{32},{14 30 34},0.413,0.249
{14 18 30},{32},0.31,0.332
{14 30 32},{18},0.103,1.0
{18 30 32},{14},0.103,1.0
{14 18 32},{30},0.231,0.446
{14 30},{18 32},0.421,0.244
{18 30},{14 32},0.397,0.259
{14 18},{30 32},0.527,0.195
{30 32},{14 18},0.245,0.42
{14 32},{18 30},0.299,0.343
{18 32},{14 30},0.304,0.338
{30},{14 18 32},0.563,0.182
{14},{18 30 32},0.717,0.143
{18},{14 30 32},0.705,0.146
{32},{14 18 30},0.413,0.249
{1 30 34},{48},0.214,0.495
{30 34 48},{1},0.106,1.0
{1 30 48},{34},0.106,1.0
{1 34 48},{30},0.106,1.0
{30 34},{1 48},0.368,0.287
{1 30},{34 48},0.31,0.341
{1 34},{30 48},0.352,0.3
{30 48},{1 34},0.282,0.375
{34 48},{1 30},0.316,0.334
{1 48},{30 34},0.466,0.227
{30},{1 34 48},0.563,0.188
{34},{1 30 48},0.641,0.165
{1},{30 34 48},0.52,0.203
{48},{1 30 34},0.479,0.221
{19 30 34},{48},0.215,0.519
{19 30 48},{34},0.165,0.673
{30 34 48},{19},0.106,1.054
{19 34 48},{30},0.111,1.0
{19 30},{34 48},0.316,0.352
