antecedent,consequent,support,confidence
{30 34},{19 48},0.368,0.303
{19 34},{30 48},0.36,0.31
{30 48},{19 34},0.282,0.395
{19 48},{30 34},0.268,0.416
{34 48},{19 30},0.316,0.352
{30},{19 34 48},0.563,0.198
{19},{30 34 48},0.54,0.207
{34},{19 30 48},0.641,0.174
{48},{19 30 34},0.479,0.233
{18 30 34},{48},0.27,0.392
{30 34 48},{18},0.106,1.0
{18 30 48},{34},0.106,1.0
{18 34 48},{30},0.235,0.45
{30 34},{18 48},0.368,0.287
{18 30},{34 48},0.397,0.267
{18 34},{30 48},0.466,0.227
{30 48},{18 34},0.282,0.375
{34 48},{18 30},0.316,0.334
{18 48},{30 34},0.348,0.304
{30},{18 34 48},0.563,0.188
{34},{18 30 48},0.641,0.165
{18},{30 34 48},0.705,0.15
{48},{18 30 34},0.479,0.221
{14 18 34},{48},0.36,0.519
{14 34 48},{18},0.187,1.0
{14 18 48},{34},0.27,0.693
{18 34 48},{14},0.235,0.796
{14 34},{18 48},0.475,0.394
{14 18},{34 48},0.527,0.355
{18 34},{14 48},0.466,0.401
{14 48},{18 34},0.356,0.526
{34 48},{14 18},0.316,0.592
{18 48},{14 34},0.348,0.538
{14},{18 34 48},0.717,0.261
{34},{14 18 48},0.641,0.292
{18},{14 34 48},0.705,0.265
{48},{14 18 34},0.479,0.391
{14 30 34},{48},0.216,0.553
{14 30 48},{34},0.119,1.0
{30 34 48},{14},0.106,1.129
{14 34 48},{30},0.187,0.638
{14 30},{34 48},0.421,0.284
{30 34},{14 48},0.368,0.325
{14 34},{30 48},0.475,0.252
{30 48},{14 34},0.282,0.423
{14 48},{30 34},0.356,0.336
{34 48},{14 30},0.316,0.378
{30},{14 34 48},0.563,0.212
{14},{30 34 48},0.717,0.167
{34},{14 30 48},0.641,0.186
{48},{14 30 34},0.479,0.249
{14 18 30},{48},0.31,0.386
{14 30 48},{18},0.119,1.0
{18 30 48},{14},0.106,1.129
{14 18 48},{30},0.27,0.442
{14 30},{18 48},0.421,0.284
{18 30},{14 48},0.397,0.301
{14 18},{30 48},0.527,0.227
{30 48},{14 18},0.282,0.423
{14 48},{18 30},0.356,0.336
{18 48},{14 30},0.348,0.344
{30},{14 18 48},0.563,0.212
{14},{18 30 48},0.717,0.167
{18},{14 30 48},0.705,0.169
{48},{14 18 30},0.479,0.249
{1 18 34},{48},0.271,0.391
{18 34 48},{1},0.235,0.45
{1 34 48},{18},0.106,1.0
{1 18 48},{34},0.106,1.0
{18 34},{1 48},0.466,0.227
{1 34},{18 48},0.352,0.3
{1 18},{34 48},0.387,0.273
{34 48},{1 18},0.316,0.334
{18 48},{1 34},0.348,0.304
{1 48},{18 34},0.466,0.227
{34},{1 18 48},0.641,0.165
{18},{1 34 48},0.705,0.15
{1},{18 34 48},0.52,0.203
{48},{1 18 34},0.479,0.221
{1 18 30},{48},0.131,0.805
{18 30 48},{1},0.106,1.0
{1 30 48},{18},0.106,1.0
{1 18 48},{30},0.106,1.0
{18 30},{1 48},0.397,0.267
{1 30},{18 48},0.31,0.341
{1 18},{30 48},0.387,0.273
{30 48},{1 18},0.282,0.375
{18 48},{1 30},0.348,0.304
{1 48},{18 30},0.466,0.227
{30},{1 18 48},0.563,0.188
{18},{1 30 48},0.705,0.15
{1},{18 30 48},0.52,0.203
{48},{1 18 30},0.479,0.221
{1 30 34},{16},0.214,0.602
{16 30 34},{1},0.192,0.67
{1 16 30},{34},0.195,0.66
{1 16 34},{30},0.128,1.0
{30 34},{1 16},0.368,0.349
{1 30},{16 34},0.31,0.414
{1 34},{16 30},0.352,0.365
{16 30},{1 34},0.29,0.443
{16 34},{1 30},0.332,0.387
{1 16},{30 34},0.492,0.261
{30},{1 16 34},0.563,0.228
{34},{1 16 30},0.641,0.201
{1},{16 30 34},0.52,0.247
{16},{1 30 34},0.513,0.25
{19 30 34},{16},0.215,0.526
{16 19 30},{34},0.167,0.676
{16 30 34},{19},0.192,0.588
{16 19 34},{30},0.113,1.0
{19 30},{16 34},0.316,0.357
{30 34},{16 19},0.368,0.306
{19 34},{16 30},0.36,0.314
{16 30},{19 34},0.29,0.389
{16 19},{30 34},0.286,0.394
{16 34},{19 30},0.332,0.339
{30},{16 19 34},0.563,0.2
{19},{16 30 34},0.54,0.209
{34},{16 19 30},0.641,0.176
{16},{19 30 34},0.513,0.22
{18 30 34},{16},0.27,0.42
{16 30 34},{18},0.192,0.59
{16 18 30},{34},0.113,1.0
{16 18 34},{30},0.246,0.461
{30 34},{16 18},0.368,0.307
{18 30},{16 34},0.397,0.285
{18 34},{16 30},0.466,0.242
{16 30},{18 34},0.29,0.39
{16 34},{18 30},0.332,0.34
{16 18},{30 34},0.369,0.307
{30},{16 18 34},0.563,0.201
{34},{16 18 30},0.641,0.177
{18},{16 30 34},0.705,0.16
{16},{18 30 34},0.513,0.22
{14 18 34},{16},0.36,0.54
{14 16 34},{18},0.195,1.0
{14 16 18},{34},0.28,0.694
{16 18 34},{14},0.246,0.792
{14 34},{16 18},0.475,0.41
{14 18},{16 34},0.527,0.369
{18 34},{14 16},0.466,0.417
{14 16},{18 34},0.38,0.512
{16 34},{14 18},0.332,0.585
{16 18},{14 34},0.369,0.528
{14},{16 18 34},0.717,0.271
{34},{14 16 18},0.641,0.304
{18},{14 16 34},0.705,0.276
{16},{14 18 34},0.513,0.379
{14 30 34},{16},0.216,0.524
{14 16 30},{34},0.113,1.0
{16 30 34},{14},0.192,0.59
{14 16 34},{30},0.195,0.581
{14 30},{16 34},0.421,0.269
{30 34},{14 16},0.368,0.307
{14 34},{16 30},0.475,0.238
{16 30},{14 34},0.29,0.39
{14 16},{30 34},0.38,0.298
{16 34},{14 30},0.332,0.34
{30},{14 16 34},0.563,0.201
{14},{16 30 34},0.717,0.158
{34},{14 16 30},0.641,0.177
{16},{14 30 34},0.513,0.22
{14 18 30},{16},0.31,0.365
{14 16 30},{18},0.113,1.0
{16 18 30},{14},0.113,1.0
{14 16 18},{30},0.28,0.404
{14 30},{16 18},0.421,0.269
{18 30},{14 16},0.397,0.285
{14 18},{16 30},0.527,0.215
{16 30},{14 18},0.29,0.39
{14 16},{18 30},0.38,0.298
{16 18},{14 30},0.369,0.307
{30},{14 16 18},0.563,0.201
{14},{16 18 30},0.717,0.158
{18},{14 16 30},0.705,0.16
{16},{14 18 30},0.513,0.22
{19 30 34},{1},0.215,0.597
{1 19 30},{34},0.177,0.725
{1 30 34},{19},0.214,0.6
{1 19 34},{30},0.128,1.0
{19 30},{1 34},0.316,0.405
{30 34},{1 19},0.368,0.348
{19 34},{1 30},0.36,0.356
{1 30},{19 34},0.31,0.413
{1 19},{30 34},0.288,0.444
{1 34},{19 30},0.352,0.364
{30},{1 19 34},0.563,0.227
{19},{1 30 34},0.54,0.237
{34},{1 19 30},0.641,0.2
{1},{19 30 34},0.52,0.246
{6 19 30},{1},0.179,0.578
{1 6 30},{19},0.103,1.0
{1 19 30},{6},0.177,0.585
{1 6 19},{30},0.167,0.62
{6 30},{1 19},0.307,0.337
{19 30},{1 6},0.316,0.327
{6 19},{1 30},0.298,0.347
{1 30},{6 19},0.31,0.334
{1 6},{19 30},0.284,0.364
{1 19},{6 30},0.288,0.359
{30},{1 6 19},0.563,0.184
{6},{1 19 30},0.528,0.196
{19},{1 6 30},0.54,0.192
{1},{6 19 30},0.52,0.199
{18 30 34},{1},0.27,0.488
{1 30 34},{18},0.214,0.616
{1 18 30},{34},0.131,1.0
{1 18 34},{30},0.271,0.486
{30 34},{1 18},0.368,0.357
{18 30},{1 34},0.397,0.331
{18 34},{1 30},0.466,0.282
{1 30},{18 34},0.31,0.424
{1 34},{18 30},0.352,0.373
{1 18},{30 34},0.387,0.34
{30},{1 18 34},0.563,0.233
{34},{1 18 30},0.641,0.205
{18},{1 30 34},0.705,0.186
{1},{18 30 34},0.52,0.253
{14 18 34},{1},0.36,0.584
{1 14 34},{18},0.211,1.0
{1 14 18},{34},0.293,0.719
{1 18 34},{14},0.271,0.778
{14 34},{1 18},0.475,0.443
{14 18},{1 34},0.527,0.399
{18 34},{1 14},0.466,0.451
{1 14},{18 34},0.382,0.551
{1 34},{14 18},0.352,0.598
{1 18},{14 34},0.387,0.544
{14},{1 18 34},0.717,0.294
{34},{1 14 18},0.641,0.329
{18},{1 14 34},0.705,0.299
{1},{14 18 34},0.52,0.405
{14 30 34},{1},0.216,0.609
{1 14 30},{34},0.131,1.0
{1 30 34},{14},0.214,0.616
{1 14 34},{30},0.211,0.624
{14 30},{1 34},0.421,0.312
{30 34},{1 14},0.368,0.357
{14 34},{1 30},0.475,0.277
{1 30},{14 34},0.31,0.424
{1 14},{30 34},0.382,0.344
{1 34},{14 30},0.352,0.373
{30},{1 14 34},0.563,0.233
{14},{1 30 34},0.717,0.183
{34},{1 14 30},0.641,0.205
{1},{14 30 34},0.52,0.253
{14 18 30},{1},0.31,0.425
{1 14 30},{18},0.131,1.0
{1 18 30},{14},0.131,1.0
{1 14 18},{30},0.293,0.449
{14 30},{1 18},0.421,0.312
{18 30},{1 14},0.397,0.331
{14 18},{1 30},0.527,0.249
{1 30},{14 18},0.31,0.424
{1 14},{18 30},0.382,0.344
{1 18},{14 30},0.387,0.34
{30},{1 14 18},0.563,0.233
{14},{1 18 30},0.717,0.183
{18},{1 14 30},0.705,0.186
{1},{14 18 30},0.52,0.253
{6 19 30},{34},0.179,0.69
{6 30 34},{19},0.208,0.594
{19 30 34},{6},0.215,0.575
{6 19 34},{30},0.123,1.0
{6 30},{19 34},0.307,0.403
{19 30},{6 34},0.316,0.39
{6 19},{30 34},0.298,0.414
{30 34},{6 19},0.368,0.335
{6 34},{19 30},0.352,0.35
{19 34},{6 30},0.36,0.343
{30},{6 19 34},0.563,0.219
{6},{19 30 34},0.528,0.234
{19},{6 30 34},0.54,0.229
{34},{6 19 30},0.641,0.193
{6 30 34},{18},0.208,0.589
{6 18 30},{34},0.122,1.0
{18 30 34},{6},0.27,0.454
{6 18 34},{30},0.262,0.468
{6 30},{18 34},0.307,0.399
{30 34},{6 18},0.368,0.333
{6 34},{18 30},0.352,0.348
{18 30},{6 34},0.397,0.309
{6 18},{30 34},0.382,0.321
{18 34},{6 30},0.466,0.263
{30},{6 18 34},0.563,0.217
{6},{18 30 34},0.528,0.232
{34},{6 18 30},0.641,0.191
{18},{6 30 34},0.705,0.174
{6 14 34},{18},0.202,1.0
{6 14 18},{34},0.29,0.698
{14 18 34},{6},0.36,0.561
{6 18 34},{14},0.262,0.772
{6 14},{18 34},0.388,0.522
{14 34},{6 18},0.475,0.426
{6 34},{14 18},0.352,0.574
{14 18},{6 34},0.527,0.384
{6 18},{14 34},0.382,0.53
{18 34},{6 14},0.466,0.433
{14},{6 18 34},0.717,0.282
{6},{14 18 34},0.528,0.383
{34},{6 14 18},0.641,0.316
{18},{6 14 34},0.705,0.287
{6 14 30},{34},0.122,1.0
{6 14 34},{30},0.202,0.606
{14 30 34},{6},0.216,0.567
{6 30 34},{14},0.208,0.589
{6 14},{30 34},0.388,0.316
{14 30},{6 34},0.421,0.291
{6 30},{14 34},0.307,0.399
{14 34},{6 30},0.475,0.258
{6 34},{14 30},0.352,0.348
{30 34},{6 14},0.368,0.333
{14},{6 30 34},0.717,0.171
{6},{14 30 34},0.528,0.232
{30},{6 14 34},0.563,0.217
{34},{6 14 30},0.641,0.191
{6 14 30},{18},0.122,1.0
{6 14 18},{30},0.29,0.423
{14 18 30},{6},0.31,0.395
{6 18 30},{14},0.122,1.0
{6 14},{18 30},0.388,0.316
{14 30},{6 18},0.421,0.291
{6 30},{14 18},0.307,0.399
{14 18},{6 30},0.527,0.232
{6 18},{14 30},0.382,0.321
{18 30},{6 14},0.397,0.309
{14},{6 18 30},0.717,0.171
{6},{14 18 30},0.528,0.232
{30},{6 14 18},0.563,0.217
{18},{6 14 30},0.705,0.174
{14 19 34},{18},0.215,1.0
{14 18 34},{19},0.36,0.597
{14 18 19},{34},0.306,0.704
{18 19 34},{14},0.274,0.786
{14 34},{18 19},0.475,0.453
{14 19},{18 34},0.399,0.539
{19 34},{14 18},0.36,0.598
{14 18},{19 34},0.527,0.408
{18 34},{14 19},0.466,0.461
{18 19},{14 34},0.4,0.538
{14},{18 19 34},0.717,0.3
{34},{14 18 19},0.641,0.336
{19},{14 18 34},0.54,0.399
{18},{14 19 34},0.705,0.305
{19 30 34},{18},0.215,0.773
{18 30 34},{19},0.27,0.615
{18 19 30},{34},0.166,1.0
{18 19 34},{30},0.274,0.605
{30 34},{18 19},0.368,0.451
{19 30},{18 34},0.316,0.524
{19 34},{18 30},0.36,0.461
{18 30},{19 34},0.397,0.418
{18 34},{19 30},0.466,0.356
{18 19},{30 34},0.4,0.415
{30},{18 19 34},0.563,0.294
{34},{18 19 30},0.641,0.259
{19},{18 30 34},0.54,0.307
{18},{19 30 34},0.705,0.235
{14 19 30},{34},0.133,1.0
{14 30 34},{19},0.216,0.618
{19 30 34},{14},0.215,0.622
{14 19 34},{30},0.215,0.62
{14 30},{19 34},0.421,0.317
{19 30},{14 34},0.316,0.422
{14 19},{30 34},0.399,0.334
{30 34},{14 19},0.368,0.363
{14 34},{19 30},0.475,0.281
{19 34},{14 30},0.36,0.371
{30},{14 19 34},0.563,0.237
{14},{19 30 34},0.717,0.186
{19},{14 30 34},0.54,0.247
{34},{14 19 30},0.641,0.208
{14 19 30},{18},0.133,1.0
{14 18 30},{19},0.31,0.431
{18 19 30},{14},0.166,0.805
{14 18 19},{30},0.306,0.437
{14 30},{18 19},0.421,0.317
{19 30},{14 18},0.316,0.422
{14 19},{18 30},0.399,0.334
{18 30},{14 19},0.397,0.336
{14 18},{19 30},0.527,0.253
{18 19},{14 30},0.4,0.334
{30},{14 18 19},0.563,0.237
{14},{18 19 30},0.717,0.186
{19},{14 18 30},0.54,0.247
{18},{14 19 30},0.705,0.189
{14 30 34},{18},0.216,1.0
{14 18 30},{34},0.31,0.697
{18 30 34},{14},0.27,0.801
{14 18 34},{30},0.36,0.599
{14 30},{18 34},0.421,0.513
{30 34},{14 18},0.368,0.587
{14 34},{18 30},0.475,0.455
{18 30},{14 34},0.397,0.544
{14 18},{30 34},0.527,0.409
{18 34},{14 30},0.466,0.463
{30},{14 18 34},0.563,0.383
{14},{18 30 34},0.717,0.301
{34},{14 18 30},0.641,0.337
{18},{14 30 34},0.705,0.306
{6 29},{4},0.187,1.0
{4 6},{29},0.342,0.547
{4 29},{6},0.187,1.0
{6},{4 29},0.528,0.355
{29},{4 6},0.28,0.668
{4},{6 29},0.397,0.472
{14 39},{18},0.175,1.0
{18 39},{14},0.175,1.0
{14 18},{39},0.527,0.332
{39},{14 18},0.316,0.554
{14},{18 39},0.717,0.244
{18},{14 39},0.705,0.248
{1 28},{16},0.104,1.0
{16 28},{1},0.104,1.0
{1 16},{28},0.492,0.212
{28},{1 16},0.342,0.305
{1},{16 28},0.52,0.201
{16},{1 28},0.513,0.204
{6 28},{19},0.111,1.0
{6 19},{28},0.298,0.374
{19 28},{6},0.19,0.587
{6},{19 28},0.528,0.211
{28},{6 19},0.342,0.326
{19},{6 28},0.54,0.207
{14 18},{46},0.527,0.408
{14 46},{18},0.215,1.0
{18 46},{14},0.215,1.0
{14},{18 46},0.717,0.3
{18},{14 46},0.705,0.305
{46},{14 18},0.372,0.578
{14 44},{18},0.219,0.97
{14 18},{44},0.527,0.403
{18 44},{14},0.109,1.951
{14},{18 44},0.717,0.296
{44},{14 18},0.373,0.569
{18},{14 44},0.705,0.301
{14 44},{1},0.219,1.0
{1 14},{44},0.382,0.573
{1 44},{14},0.102,2.137
{14},{1 44},0.717,0.305
{44},{1 14},0.373,0.587
{1},{14 44},0.52,0.421
{6 44},{4},0.205,1.0
{4 44},{6},0.205,1.0
{4 6},{44},0.342,0.6
{44},{4 6},0.373,0.55
{6},{4 44},0.528,0.389
{4},{6 44},0.397,0.517
{34 44},{18},0.109,1.73
{18 44},{34},0.109,1.73
{18 34},{44},0.466,0.403
{44},{18 34},0.373,0.504
{34},{18 44},0.641,0.294
{18},{34 44},0.705,0.267
{14 44},{34},0.219,0.692
{14 34},{44},0.475,0.319
{34 44},{14},0.109,1.393
{14},{34 44},0.717,0.211
{44},{14 34},0.373,0.406
{34},{14 44},0.641,0.236
{30 44},{34},0.109,1.0
{30 34},{44},0.368,0.296
{34 44},{30},0.109,1.0
{30},{34 44},0.563,0.193
{44},{30 34},0.373,0.292
{34},{30 44},0.641,0.17
{34 44},{1},0.109,0.942
{1 44},{34},0.102,1.0
{1 34},{44},0.352,0.291
{44},{1 34},0.373,0.275
{34},{1 44},0.641,0.16
{1},{34 44},0.52,0.197
{30 44},{1},0.109,0.942
{1 30},{44},0.31,0.33
{1 44},{30},0.102,1.0
{30},{1 44},0.563,0.182
{44},{1 30},0.373,0.275
{1},{30 44},0.52,0.197
{30 44},{18},0.109,1.0
{18 30},{44},0.397,0.274
{18 44},{30},0.109,1.0
{30},{18 44},0.563,0.193
{44},{18 30},0.373,0.292
{18},{30 44},0.705,0.154
{14 18},{49},0.527,0.416
{14 49},{18},0.289,0.759
{18 49},{14},0.188,1.167
{14},{18 49},0.717,0.306
{18},{14 49},0.705,0.311
{49},{14 18},0.389,0.564
{4 49},{16},0.119,1.0
{4 16},{49},0.204,0.583
{16 49},{4},0.119,1.0
{4},{16 49},0.397,0.3
{49},{4 16},0.389,0.306
{16},{4 49},0.513,0.232
{14 49},{1},0.289,0.776
{1 49},{14},0.383,0.585
{1 14},{49},0.382,0.587
{49},{1 14},0.389,0.577
{14},{1 49},0.717,0.313
{1},{14 49},0.52,0.431
{6 49},{48},0.129,1.0
{6 48},{49},0.366,0.352
{48 49},{6},0.191,0.675
{6},{48 49},0.528,0.244
{49},{6 48},0.389,0.331
{48},{6 49},0.479,0.269
{18 34},{49},0.466,0.403
{34 49},{18},0.188,1.0
{18 49},{34},0.188,1.0
{34},{18 49},0.641,0.293
{18},{34 49},0.705,0.266
{49},{18 34},0.389,0.483
{14 34},{49},0.475,0.316
{14 49},{34},0.289,0.518
{34 49},{14},0.188,0.798
{14},{34 49},0.717,0.209
{34},{14 49},0.641,0.234
{49},{14 34},0.389,0.385
{4 30},{34},0.242,0.414
{30 34},{4},0.368,0.272
{4 34},{30},0.269,0.372
{30},{4 34},0.563,0.178
{4},{30 34},0.397,0.252
{34},{4 30},0.641,0.156
{4 6},{19},0.342,0.387
{6 19},{4},0.298,0.444
{4 19},{6},0.228,0.58
{6},{4 19},0.528,0.251
{4},{6 19},0.397,0.334
{19},{4 6},0.54,0.246
{4 6},{48},0.342,0.361
{6 48},{4},0.366,0.338
{4 48},{6},0.123,1.0
{6},{4 48},0.528,0.234
{4},{6 48},0.397,0.311
{48},{4 6},0.479,0.258
{4 34},{18},0.269,0.76
{18 34},{4},0.466,0.438
{4 18},{34},0.1,2.043
{34},{4 18},0.641,0.319
{4},{18 34},0.397,0.516
{18},{4 34},0.705,0.29
{4 30},{1},0.242,0.709
{1 30},{4},0.31,0.552
{1 4},{30},0.39,0.438
{30},{1 4},0.563,0.304
{4},{1 30},0.397,0.431
{1},{4 30},0.52,0.329
{4 14},{34},0.289,0.346
{14 34},{4},0.475,0.211
{4 34},{14},0.269,0.372
{14},{4 34},0.717,0.14
{4},{14 34},0.397,0.252
{34},{4 14},0.641,0.156
{4 14},{18},0.289,0.346
{14 18},{4},0.527,0.19
{4 18},{14},0.1,1.0
{14},{4 18},0.717,0.14
{4},{14 18},0.397,0.252
{18},{4 14},0.705,0.142
{4 30},{18},0.242,0.414
{18 30},{4},0.397,0.252
{4 18},{30},0.1,1.0
{30},{4 18},0.563,0.178
{4},{18 30},0.397,0.252
{18},{4 30},0.705,0.142
{14 30},{4},0.421,0.238
{4 30},{14},0.242,0.414
{4 14},{30},0.289,0.346
{30},{4 14},0.563,0.178
{14},{4 30},0.717,0.14
{4},{14 30},0.397,0.252
{1 26},{16},0.179,0.693
{16 26},{1},0.124,1.0
{1 16},{26},0.492,0.252
{26},{1 16},0.412,0.301
{1},{16 26},0.52,0.239
{16},{1 26},0.513,0.242
{14 26},{18},0.305,0.761
{14 18},{26},0.527,0.441
{18 26},{14},0.299,0.776
{14},{18 26},0.717,0.324
{26},{14 18},0.412,0.563
{18},{14 26},0.705,0.329
{19 30},{26},0.316,0.442
{26 30},{19},0.105,1.334
{19 26},{30},0.233,0.601
{30},{19 26},0.563,0.248
{19},{26 30},0.54,0.259
{26},{19 30},0.412,0.339
{30 34},{26},0.368,0.285
